DT_GERACAO;HH_GERACAO;ANO_ELEICAO;DS_IDENTIFICACAO_RECURSO;NR_RECURSO;DT_AUTUACAO;DT_BAIXA;NR_PROCESSO_ORIGEM;SG_UF_TRIBUNAL_ORIGEM;NR_INSTANCIA_ORIGEM;SG_UF_TRIBUNAL;NR_INSTANCIA;DT_DISTRIBUICAO;CD_TIPO_DISTRIBUICAO;DS_TIPO_DISTRIBUICAO;CD_RELATOR;NM_RELATOR;CD_TIPO_CARGO_RELATOR;DS_TIPO_CARGO_RELATOR;CD_CLASSE;SG_CLASSE;DS_CLASSE;CD_ASSUNTO_PRINCIPAL;DS_ASSUNTO_PRINCIPAL;DS_TIPO_RECURSO;DS_NATUREZA_RECURSO;ST_CONCLUSO;QT_DECISOES;DT_ULTIMA_DECISAO;DS_ULTIMA_DECISAO
03/12/2023;05:05:43;2022;Processo;65059759;13/09/2022;;0606884-95.2022.6.26.0000;SP;26;SP;2;13/09/2022;;;3;Gabinete do Juiz de Direito II;3;Magistrado;12193;PCE;PRESTAÇÃO DE CONTAS ELEITORAIS;11631;Cargo - Deputado Federal;Embargos de Declaração;Interno;1;2;14-DEC-22;
03/12/2023;05:05:43;2022;Processo;65076062;14/09/2022;;0607698-10.2022.6.26.0000;SP;26;SP;2;14/09/2022;;;8;Gabinete do Jurista II;13;Magistrado;156;CumSen;CUMPRIMENTO DE SENTENÇA;11631;Cargo - Deputado Federal;Agravo;Externo;0;6;09/jan/23;
03/12/2023;05:05:43;2022;Processo;65042536;13/09/2022;;0606819-03.2022.6.26.0000;SP;26;SP;2;05/12/2022;;;3;Gabinete do Juiz de Direito II;3;Magistrado;12193;PCE;PRESTAÇÃO DE CONTAS ELEITORAIS;11631;Cargo - Deputado Federal;Embargos de Declaração;Interno;1;2;15-DEC-22;
03/12/2023;05:05:43;2022;Processo;65117885;12/09/2022;22/11/2023;0605683-68.2022.6.26.0000;SP;26;SP;2;12/09/2022;;;3;Gabinete do Juiz de Direito II;3;Magistrado;12193;PCE;PRESTAÇÃO DE CONTAS ELEITORAIS;11630;Cargo - Deputado Estadual;Recurso;Interno;0;5;28-FEB-23;
03/12/2023;05:05:43;2022;Processo;65041478;12/09/2022;22/11/2023;0605683-68.2022.6.26.0000;SP;26;SP;2;12/09/2022;;;3;Gabinete do Juiz de Direito II;3;Magistrado;12193;PCE;PRESTAÇÃO DE CONTAS ELEITORAIS;11630;Cargo - Deputado Estadual;Embargos de Declaração;Interno;0;5;28-FEB-23;
03/12/2023;05:05:43;2022;Processo;64452847;21/09/2022;07/10/2022;0607888-70.2022.6.26.0000;SP;26;SP;2;21/09/2022;;;47;Gabinete do Juiz Auxiliar II;57;Juiz Auxiliar da Propaganda;12625;DR;DIREITO DE RESPOSTA;12635;Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa;Recurso;Interno;0;4;05-OCT-22;
03/12/2023;05:05:43;2022;Processo;64990831;13/09/2022;;0607471-20.2022.6.26.0000;SP;26;SP;2;25/05/2023;;;6;Gabinete do Jurista I;11;Magistrado;156;CumSen;CUMPRIMENTO DE SENTENÇA;11657;Propaganda Política - Propaganda Eleitoral - Bem Particular de Uso Comum;Agravo;Externo;0;9;23/nov/22;
03/12/2023;05:05:43;2022;Processo;64645506;13/09/2022;;0607471-20.2022.6.26.0000;SP;26;SP;2;25/05/2023;;;6;Gabinete do Jurista I;11;Magistrado;156;CumSen;CUMPRIMENTO DE SENTENÇA;11657;Propaganda Política - Propaganda Eleitoral - Bem Particular de Uso Comum;Embargos de Declaração;Interno;0;9;23/nov/22;
03/12/2023;05:05:43;2022;Processo;64574489;13/09/2022;;0607471-20.2022.6.26.0000;SP;26;SP;2;25/05/2023;;;6;Gabinete do Jurista I;11;Magistrado;156;CumSen;CUMPRIMENTO DE SENTENÇA;11657;Propaganda Política - Propaganda Eleitoral - Bem Particular de Uso Comum;Embargos de Declaração;Interno;0;9;23/nov/22;
03/12/2023;05:05:43;2022;Processo;64461653;13/09/2022;;0607471-20.2022.6.26.0000;SP;26;SP;2;25/05/2023;;;6;Gabinete do Jurista I;11;Magistrado;156;CumSen;CUMPRIMENTO DE SENTENÇA;11657;Propaganda Política - Propaganda Eleitoral - Bem Particular de Uso Comum;Embargos de Declaração;Interno;0;9;23/nov/22;
03/12/2023;05:05:43;2022;Processo;64420475;13/09/2022;;0607471-20.2022.6.26.0000;SP;26;SP;2;25/05/2023;;;6;Gabinete do Jurista I;11;Magistrado;156;CumSen;CUMPRIMENTO DE SENTENÇA;11657;Propaganda Política - Propaganda Eleitoral - Bem Particular de Uso Comum;Impugnação;Interno;0;9;23/nov/22;
